participant,type,day,phase,percentage
16,metaphorical,8,IV,18.0515677
16,metaphorical,9,IV,58.55815212
16,metaphorical,10,IV,45.77885816
16,metaphorical,11,IV,5.76291294
16,metaphorical,12,IV,
16,metaphorical,13,IV,
16,metaphorical,14,IV,0
16,metaphorical,15,IV,7.273178602
16,metaphorical,16,WD,0
16,metaphorical,17,WD,11.61521671
16,metaphorical,18,WD,10.44066364
16,metaphorical,19,WD,
16,metaphorical,20,WD,9.738118332
18,metaphorical,1,BL,15.72052402
18,metaphorical,2,BL,8.578912901
18,metaphorical,3,BL,13.11849784
18,metaphorical,4,BL,5.179709158
18,metaphorical,5,BL,6.809099293
18,metaphorical,6,IV,7.536231884
18,metaphorical,7,IV,0
18,metaphorical,8,IV,9.863867097
18,metaphorical,9,IV,9.349795497
18,metaphorical,10,IV,13.29407401
18,metaphorical,11,IV,20.1758858
18,metaphorical,12,IV,15.17004723
18,metaphorical,13,IV,4.779949822
18,metaphorical,14,IV,5.642833165
18,metaphorical,15,IV,8.191795941
18,metaphorical,16,WD,1.336907827
18,metaphorical,17,WD,4.84939759
18,metaphorical,18,WD,10.77646751
18,metaphorical,19,WD,12.40022276
18,metaphorical,20,WD,1.3971843
19,metaphorical,1,BL,29.10079051
19,metaphorical,2,BL,5.904447543
19,metaphorical,3,BL,10.13659915
19,metaphorical,4,BL,11.40922768
19,metaphorical,5,BL,10.15003062
19,metaphorical,6,IV,0.292433289
19,metaphorical,7,IV,0
19,metaphorical,8,IV,0
19,metaphorical,9,IV,1.898552114
19,metaphorical,10,IV,3.013505342
19,metaphorical,11,IV,0
19,metaphorical,12,IV,0
19,metaphorical,13,IV,0
19,metaphorical,14,IV,1.039003876
19,metaphorical,15,IV,0.012370879
19,metaphorical,16,WD,0
19,metaphorical,17,WD,0
19,metaphorical,18,WD,0
19,metaphorical,19,WD,
19,metaphorical,20,WD,0
21,metaphorical,1,BL,25.94087283
21,metaphorical,2,BL,35.5804215
21,metaphorical,3,BL,0.355555556
21,metaphorical,4,BL,21.42739047
21,metaphorical,5,BL,20.22816446
21,metaphorical,6,IV,22.32170423
21,metaphorical,7,IV,4.749340369
21,metaphorical,8,IV,1.799731125
21,metaphorical,9,IV,3.30939406
21,metaphorical,10,IV,10.35611953
21,metaphorical,11,IV,1.643735541
21,metaphorical,12,IV,1.927575154
21,metaphorical,13,IV,0
21,metaphorical,14,IV,0
21,metaphorical,15,IV,18.41032609
21,metaphorical,16,WD,25.92710997
21,metaphorical,17,WD,4.777870914
21,metaphorical,18,WD,17.53008896
21,metaphorical,19,WD,
21,metaphorical,20,WD,21.74838978
22,metaphorical,1,BL,10.58418667
22,metaphorical,2,BL,
22,metaphorical,3,BL,18.00669525
22,metaphorical,4,BL,
22,metaphorical,5,BL,16.11325611
22,metaphorical,6,IV,
22,metaphorical,7,IV,94.41061982
22,metaphorical,8,IV,2.065784196
22,metaphorical,9,IV,58.37281153
22,metaphorical,10,IV,0.095313741
22,metaphorical,11,IV,9.374709653
22,metaphorical,12,IV,37.66871166
22,metaphorical,13,IV,70.00929833
22,metaphorical,14,IV,90.25826054
22,metaphorical,15,IV,0
22,metaphorical,16,WD,43.53610006
22,metaphorical,17,WD,1.638981174
22,metaphorical,18,WD,40.24567847
22,metaphorical,19,WD,0.101390498
22,metaphorical,20,WD,0
23,metaphorical,1,BL,0.04363521
23,metaphorical,2,BL,0.726821017
23,metaphorical,3,BL,1.599807058
23,metaphorical,4,BL,3.195327263
23,metaphorical,5,BL,0.275709953
23,metaphorical,6,IV,0.174023098
23,metaphorical,7,IV,2.459749553
23,metaphorical,8,IV,1.599807058
23,metaphorical,9,IV,3.195327263
23,metaphorical,10,IV,0.275709953
23,metaphorical,11,IV,1.070482844
23,metaphorical,12,IV,0
23,metaphorical,13,IV,0.279947467
23,metaphorical,14,IV,1.301162664
23,metaphorical,15,IV,7.399788736
23,metaphorical,16,WD,0.535086378
23,metaphorical,17,WD,0.809662418
23,metaphorical,18,WD,1.348533296
23,metaphorical,19,WD,1.329077952
23,metaphorical,20,WD,0.534112668
24,simile,1,BL,25.47328379
24,simile,2,BL,14.38064193
24,simile,3,BL,26.99535127
24,simile,4,BL,34.32453503
24,simile,5,BL,35.38015182
24,simile,6,IV,2.511436003
24,simile,7,IV,5.182456315
24,simile,8,IV,7.790143084
24,simile,9,IV,88.88261851
24,simile,10,IV,0.493399697
24,simile,11,IV,1.214057508
24,simile,12,IV,8.771634312
24,simile,13,IV,0.633552965
24,simile,14,IV,0
24,simile,15,IV,0.804335425
24,simile,16,WD,9.309894097
24,simile,17,WD,21.94053433
24,simile,18,WD,2.828996283
24,simile,19,WD,0
24,simile,20,WD,0
25,metaphorical,1,BL,4.415958981
25,metaphorical,2,BL,9.251211767
25,metaphorical,3,BL,2.130868402
25,metaphorical,4,BL,5.536861426
25,metaphorical,5,BL,0.360269974
25,metaphorical,6,IV,0
25,metaphorical,7,IV,0.377735015
25,metaphorical,8,IV,1.274691498
25,metaphorical,9,IV,0.307692308
25,metaphorical,10,IV,0.237727822
25,metaphorical,11,IV,0
25,metaphorical,12,IV,0
25,metaphorical,13,IV,27.50836355
25,metaphorical,14,IV,15.45564031
25,metaphorical,15,IV,5.953498071
25,metaphorical,16,WD,4.918932098
25,metaphorical,17,WD,5.537914391
25,metaphorical,18,WD,11.41822712
25,metaphorical,19,WD,6.385320091
